S18	13	13-Subaranapur
S18	14	14-Bolangir
S18	15	15-Nuapada
S18	16	16-Nowrangpur
S18	17	17-Kalahandi
S18	18	18-Kandhamal
S18	19	19-Boudh
S18	2	2-Jharsuguda
S18	20	20-Cuttack
S18	21	21-Kendarapara
S18	22	22-Jagatsinghpur
S18	23	23-Puri
S18	24	24-Khurda
S18	25	25-Nayagarh
S18	26	26-Ganjam
S18	27	27-Gajapati
S18	28	28-Rayagada
S18	29	29-Koraput
S18	3	3-Sundargarh
S18	30	30-Malkangiri
S18	4	4-Sambalpur
S18	5	5-Deogarh
S18	6	6-Keonjhar
S18	7	7-Mayurabhanja
S18	8	8-Balasore
S18	9	9-Bhadrak
S19	1	1-Gurdaspur
S19	10	10-Fatehgarh Sahib
S19	11	11-Ludhiana
S19	12	12-Moga
S19	13	13-Firozpur
S19	14	14-Muktsar
S19	15	15-Faridkot
S19	16	16-Bathinda
S19	17	17-Mansa
S19	18	18-Sangrur
S19	19	19-Barnala
S19	2	2-Amritsar
S19	20	20-Patiala
S19	21	21-Pathankot
S19	22	22-Fazilka
S19	3	3-TarnTaran
S19	4	4-Kapurthala
S19	5	5-Jalandhar
S19	6	6-Hoshiarpur
S19	7	7-Shahid Bhagat Singh Nagar
S19	8	8-Rupnagar
S19	9	9-Shahibzada Ajit Singh Nagar
S20	1	1-AJMER
S20	10	10-CHITTORGARH
S20	11	11-CHURU
S20	12	12-DAUSA
S20	13	13-DHOLPUR
S20	14	14-DUNGARPUR
S20	15	15-GANGANAGAR
S20	16	16-HANUMANGARH
S20	17	17-JAIPUR
S20	18	18-JAISALMER
S20	19	19-JALORE
S20	2	2-ALWAR
S20	20	20-JHALAWAR
S20	21	21-JHUNJHUNU
S20	22	22-JODHPUR
S20	23	23-KARAULI
S20	24	24-KOTA
S20	25	25-NAGAUR
S20	26	26-PALI
S20	27	27-PRATAPGARH
S20	28	28-RAJSAMAND
S20	29	29-SAWAI MADHOPUR
S20	3	3-BANSWARA
S20	30	30-SIKAR
S20	31	31-SIROHI
S20	32	32-TONK
S20	33	33-UDAIPUR
S20	4	4-BARAN
S20	5	5-BARMER
S20	6	6-BHARATPUR
S20	7	7-BHILWARA
S20	8	8-BIKANER
S20	9	9-BUNDI
S21	1	1-WEST DISTRICT
S21	2	2-SOUTH DISTRICT
S21	3	3-EAST DISTRICT
S21	4	4-NORTH DISTRICT
S22	1	1-THIRUVALLUR
S22	10	10-NAMAKKAL
S22	11	11-ERODE
S22	12	12-THE NILGIRIS
S22	13	13-COIMBATORE
S22	14	14-DINDIGUL
S22	15	15-KARUR
S22	16	16-TIRUCHIRAPPALLI
